player_name,Player,season,G,Min,eFG_per,OR_per,DR_per,TO_per,FTr,Fguse_per,ShotUse_per,AstRate,FG3r,BLKr,STLr,PF/48min,FG2_per,FG3_per,TREB_per,Floor_per,ORTG,PtsProd,PossUsg,DRTG,NetPts/48,NetPtsAR,WinsAR,StartYear,YearsInLeague,all_nba,team,Positions
Alaa Abdelnaby,"Abdelnaby,Alaa",1991,43,290,0.474,0.104,0.234,0.169,0.216,0.216,0.219,0.058,0,0.023,0.007,6.5,0.474,,0.17,0.51,99.3,129,21%,101.7,-0.5,9,0.3,1991,1,0,None,4.5
Alaa Abdelnaby,"Abdelnaby,Alaa",1992,71,934,0.493,0.095,0.209,0.173,0.211,0.209,0.205,0.047,0,0.01,0.013,6.8,0.493,,0.152,0.52,105.2,401,20%,103.3,0.4,46,1.5,1991,2,0,None,4.5
Alaa Abdelnaby,"Abdelnaby,Alaa",1993,75,1311,0.518,0.11,0.184,0.186,0.186,0.203,0.201,0.031,0.002,0.011,0.01,6.9,0.519,0,0.147,0.52,103.8,542,20%,107.8,-0.7,34,1.1,1991,3,0,None,4.5
Alaa Abdelnaby,"Abdelnaby,Alaa",1994,13,159,0.436,0.085,0.242,0.24,0.291,0.195,0.207,0.027,0,0.011,0.006,6,0.436,,0.163,0.44,86.5,61,22%,111.1,-5,-10,-0.3,1991,4,0,None,4.5
Alaa Abdelnaby,"Abdelnaby,Alaa",1995,54,506,0.511,0.086,0.176,0.195,0.087,0.278,0.259,0.049,0.009,0.014,0.016,9.9,0.515,0,0.131,0.47,93.9,217,24%,104.8,-2.2,-2,-0.1,1991,5,0,None,4.5
Zaid Abdul-Aziz,"Abdul-Aziz,Zaid",1978,16,158,0.383,0.125,0.204,0.195,0.283,0.196,0.204,0.085,0,0.01,0.009,8.8,0.383,,0.164,0.47,93.3,67,22%,105.3,-2.4,-1,0,,,0,None,
Kareem Abdul-Jabbar,"Abdul-Jabbar,Kar",1978,62,2265,0.55,0.087,0.268,0.157,0.227,0.275,0.276,0.183,0,0.041,0.021,3.9,0.55,,0.181,0.56,113,1499,27%,94.5,5.3,343,11.4,,,0,None,
Kareem Abdul-Jabbar,"Abdul-Jabbar,Kar",1979,80,3157,0.577,0.076,0.267,0.173,0.259,0.228,0.234,0.189,0,0.05,0.011,3.5,0.577,,0.176,0.57,114.6,1872,24%,98.7,4,396,13.2,,,0,None,
Kareem Abdul-Jabbar,"Abdul-Jabbar,Kar",1980,82,3143,0.604,0.072,0.222,0.185,0.263,0.237,0.243,0.165,0.001,0.045,0.012,3.3,0.604,0,0.154,0.59,117.7,1894,24%,100.8,4.3,411,13.7,,,1,First Team,
Kareem Abdul-Jabbar,"Abdul-Jabbar,Kar",1981,80,2976,0.574,0.076,0.215,0.156,0.29,0.263,0.271,0.136,0.001,0.039,0.009,3.9,0.574,0,0.15,0.59,118.1,1888,25%,102.2,4.3,392,13.1,,,1,First Team,
Kareem Abdul-Jabbar,"Abdul-Jabbar,Kar",1982,76,2677,0.579,0.073,0.191,0.165,0.24,0.254,0.259,0.119,0.002,0.04,0.011,4,0.58,0,0.134,0.58,115.8,1618,24%,103.5,3.3,296,9.9,,,0,None,
Kareem Abdul-Jabbar,"Abdul-Jabbar,Kar",1983,79,2554,0.588,0.076,0.176,0.157,0.226,0.253,0.255,0.108,0.002,0.034,0.011,4.1,0.589,0,0.128,0.59,118.5,1509,23%,104,3.7,304,10.1,,,1,Second Team,
Kareem Abdul-Jabbar,"Abdul-Jabbar,Kar",1984,80,2622,0.578,0.078,0.168,0.165,0.23,0.258,0.258,0.115,0.001,0.028,0.01,3.9,0.579,0,0.127,0.58,115,1538,24%,106.5,2.4,238,7.9,,,1,First Team,
Kareem Abdul-Jabbar,"Abdul-Jabbar,Kar",1985,79,2630,0.599,0.077,0.182,0.152,0.239,0.25,0.252,0.131,0.001,0.032,0.011,4.3,0.6,0,0.135,0.6,120.4,1564,23%,105.1,3.8,317,10.6,,,1,Second Team,
Kareem Abdul-Jabbar,"Abdul-Jabbar,Kar",1986,79,2629,0.564,0.06,0.142,0.143,0.251,0.275,0.276,0.157,0.001,0.026,0.012,4.5,0.565,0,0.103,0.59,117.6,1671,25%,105.6,3.5,301,10,,,1,First Team,
Kareem Abdul-Jabbar,"Abdul-Jabbar,Kar",1987,78,2441,0.564,0.074,0.158,0.169,0.247,0.222,0.221,0.116,0.003,0.021,0.009,4.8,0.565,0.333,0.119,0.57,114,1254,21%,106.7,1.7,187,6.2,,,0,None,
Kareem Abdul-Jabbar,"Abdul-Jabbar,Kar",1988,80,2308,0.532,0.061,0.169,0.165,0.227,0.219,0.215,0.084,0.001,0.021,0.01,4.5,0.532,0,0.117,0.54,108.7,1046,20%,106.8,0.4,115,3.8,,,0,None,
